[2024-10-04T23:17:38.725+0000] {logging_mixin.py:190} INFO - R$ 624,99
[2024-10-04T23:17:38.726+0000] {logging_mixin.py:190} INFO - R$ 569,90
[2024-10-04T23:17:38.726+0000] {logging_mixin.py:190} INFO - R$ 889,90
[2024-10-04T23:17:38.727+0000] {logging_mixin.py:190} INFO - R$ 752,85
[2024-10-04T23:17:38.728+0000] {logging_mixin.py:190} INFO - R$ 2.744,99
[2024-10-04T23:17:38.728+0000] {logging_mixin.py:190} INFO - R$ 5.685,00
[2024-10-04T23:17:38.729+0000] {logging_mixin.py:190} INFO - R$ 1.414,99
[2024-10-04T23:17:38.730+0000] {logging_mixin.py:190} INFO - R$ 1.489,99
[2024-10-04T23:17:38.730+0000] {logging_mixin.py:190} INFO - R$ 1.194,99
[2024-10-04T23:17:38.731+0000] {logging_mixin.py:190} INFO - R$ 1.299,99
[2024-10-04T23:17:38.731+0000] {logging_mixin.py:190} INFO - R$ 1.394,99
[2024-10-04T23:17:38.732+0000] {logging_mixin.py:190} INFO - R$ 1.094,99
[2024-10-04T23:17:38.733+0000] {logging_mixin.py:190} INFO - R$ 2.314,41
[2024-10-04T23:17:38.733+0000] {logging_mixin.py:190} INFO - R$ 1.406,15
[2024-10-04T23:17:38.734+0000] {logging_mixin.py:190} INFO - R$ 198,00
[2024-10-04T23:17:38.735+0000] {logging_mixin.py:190} INFO - R$ 577,07
[2024-10-04T23:17:38.736+0000] {logging_mixin.py:190} INFO - R$ 355,00
[2024-10-04T23:17:38.736+0000] {logging_mixin.py:190} INFO - R$ 1.299,99
[2024-10-04T23:17:38.737+0000] {logging_mixin.py:190} INFO - R$ 597,89
[2024-10-04T23:17:38.737+0000] {logging_mixin.py:190} INFO - R$ 2.095,75
[2024-10-04T23:17:38.738+0000] {logging_mixin.py:190} INFO - R$ 2.629,98
[2024-10-04T23:17:38.739+0000] {logging_mixin.py:190} INFO - R$ 2.674,99
[2024-10-04T23:17:38.739+0000] {logging_mixin.py:190} INFO - R$ 3.799,99
[2024-10-04T23:17:38.740+0000] {logging_mixin.py:190} INFO - R$ 2.444,99
[2024-10-04T23:17:38.741+0000] {logging_mixin.py:190} INFO - R$ 229,00
[2024-10-04T23:17:38.742+0000] {logging_mixin.py:190} INFO - R$ 709,90
[2024-10-04T23:17:38.743+0000] {logging_mixin.py:190} INFO - R$ 679,25
[2024-10-04T23:17:38.743+0000] {logging_mixin.py:190} INFO - R$ 225,63
[2024-10-04T23:17:38.744+0000] {logging_mixin.py:190} INFO - R$ 2.523,66
[2024-10-04T23:17:38.744+0000] {logging_mixin.py:190} INFO - R$ 164,11
[2024-10-04T23:17:38.745+0000] {logging_mixin.py:190} INFO - R$ 5.314,99
[2024-10-04T23:17:38.746+0000] {logging_mixin.py:190} INFO - R$ 1.945,00
[2024-10-04T23:17:38.746+0000] {logging_mixin.py:190} INFO - R$ 3.784,99
[2024-10-04T23:17:38.747+0000] {logging_mixin.py:190} INFO - R$ 2.769,99
[2024-10-04T23:17:38.748+0000] {logging_mixin.py:190} INFO - R$ 6.924,99
[2024-10-04T23:17:38.748+0000] {logging_mixin.py:190} INFO - R$ 2.089,99
[2024-10-04T23:17:38.749+0000] {logging_mixin.py:190} INFO - R$ 2.084,99
[2024-10-04T23:17:38.749+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:17:38.750+0000] {logging_mixin.py:190} INFO - R$ 2.294,99
[2024-10-04T23:17:38.751+0000] {logging_mixin.py:190} INFO - R$ 729,99
[2024-10-04T23:17:38.752+0000] {logging_mixin.py:190} INFO - R$ 2.394,99
[2024-10-04T23:17:38.753+0000] {logging_mixin.py:190} INFO - R$ 659,99
[2024-10-04T23:17:38.753+0000] {logging_mixin.py:190} INFO - R$ 3.399,99
[2024-10-04T23:17:38.754+0000] {logging_mixin.py:190} INFO - R$ 2.989,99
[2024-10-04T23:17:38.755+0000] {logging_mixin.py:190} INFO - R$ 2.804,99
[2024-10-04T23:17:38.755+0000] {logging_mixin.py:190} INFO - R$ 1.694,99
[2024-10-04T23:17:38.756+0000] {logging_mixin.py:190} INFO - R$ 1.158,93
[2024-10-04T23:17:38.756+0000] {logging_mixin.py:190} INFO - R$ 167,68
[2024-10-04T23:17:38.757+0000] {logging_mixin.py:190} INFO - R$ 418,67
[2024-10-04T23:17:38.757+0000] {logging_mixin.py:190} INFO - R$ 485,00
[2024-10-04T23:17:38.758+0000] {logging_mixin.py:190} INFO - R$ 567,67
[2024-10-04T23:17:38.759+0000] {logging_mixin.py:190} INFO - R$ 1.089,90
[2024-10-04T23:17:38.759+0000] {logging_mixin.py:190} INFO - R$ 659,90
[2024-10-04T23:17:38.760+0000] {logging_mixin.py:190} INFO - R$ 388,00
[2024-10-04T23:17:38.760+0000] {logging_mixin.py:190} INFO - R$ 544,00
[2024-10-04T23:17:38.761+0000] {logging_mixin.py:190} INFO - R$ 519,90
[2024-10-04T23:17:38.761+0000] {logging_mixin.py:190} INFO - R$ 1.529,10
[2024-10-04T23:17:38.762+0000] {logging_mixin.py:190} INFO - R$ 1.508,00
[2024-10-04T23:17:38.763+0000] {logging_mixin.py:190} INFO - R$ 438,89
[2024-10-04T23:17:38.763+0000] {logging_mixin.py:190} INFO - R$ 599,00
[2024-10-04T23:17:38.764+0000] {logging_mixin.py:190} INFO - R$ 365,90
[2024-10-04T23:17:38.765+0000] {logging_mixin.py:190} INFO - R$ 208,00
[2024-10-04T23:17:38.765+0000] {logging_mixin.py:190} INFO - R$ 219,90
[2024-10-04T23:17:38.766+0000] {logging_mixin.py:190} INFO - R$ 714,99
[2024-10-04T23:17:38.766+0000] {logging_mixin.py:190} INFO - R$ 1.964,99
[2024-10-04T23:17:38.767+0000] {logging_mixin.py:190} INFO - R$ 2.046,99
[2024-10-04T23:17:38.768+0000] {logging_mixin.py:190} INFO - R$ 1.984,99
[2024-10-04T23:17:38.769+0000] {logging_mixin.py:190} INFO - R$ 561,00
[2024-10-04T23:17:38.770+0000] {logging_mixin.py:190} INFO - R$ 763,90
