[2024-10-04T23:57:42.039+0000] {logging_mixin.py:190} INFO - R$ 999,99
[2024-10-04T23:57:42.040+0000] {logging_mixin.py:190} INFO - R$ 1.699,99
[2024-10-04T23:57:42.041+0000] {logging_mixin.py:190} INFO - R$ 2.904,99
[2024-10-04T23:57:42.041+0000] {logging_mixin.py:190} INFO - R$ 2.594,99
[2024-10-04T23:57:42.042+0000] {logging_mixin.py:190} INFO - R$ 3.379,99
[2024-10-04T23:57:42.043+0000] {logging_mixin.py:190} INFO - R$ 165,09
[2024-10-04T23:57:42.043+0000] {logging_mixin.py:190} INFO - R$ 640,04
[2024-10-04T23:57:42.044+0000] {logging_mixin.py:190} INFO - R$ 175,81
[2024-10-04T23:57:42.045+0000] {logging_mixin.py:190} INFO - R$ 834,15
[2024-10-04T23:57:42.045+0000] {logging_mixin.py:190} INFO - R$ 3.594,99
[2024-10-04T23:57:42.046+0000] {logging_mixin.py:190} INFO - R$ 2.879,99
[2024-10-04T23:57:42.047+0000] {logging_mixin.py:190} INFO - R$ 529,90
[2024-10-04T23:57:42.047+0000] {logging_mixin.py:190} INFO - R$ 1.402,20
[2024-10-04T23:57:42.048+0000] {logging_mixin.py:190} INFO - R$ 1.377,90
[2024-10-04T23:57:42.048+0000] {logging_mixin.py:190} INFO - R$ 4.209,99
[2024-10-04T23:57:42.049+0000] {logging_mixin.py:190} INFO - R$ 1.509,99
[2024-10-04T23:57:42.049+0000] {logging_mixin.py:190} INFO - R$ 4.994,99
[2024-10-04T23:57:42.050+0000] {logging_mixin.py:190} INFO - R$ 579,99
[2024-10-04T23:57:42.051+0000] {logging_mixin.py:190} INFO - R$ 964,99
[2024-10-04T23:57:42.051+0000] {logging_mixin.py:190} INFO - R$ 1.994,99
[2024-10-04T23:57:42.052+0000] {logging_mixin.py:190} INFO - R$ 1.679,99
[2024-10-04T23:57:42.053+0000] {logging_mixin.py:190} INFO - R$ 5.059,99
[2024-10-04T23:57:42.053+0000] {logging_mixin.py:190} INFO - R$ 2.199,99
[2024-10-04T23:57:42.054+0000] {logging_mixin.py:190} INFO - R$ 1.769,99
[2024-10-04T23:57:42.055+0000] {logging_mixin.py:190} INFO - R$ 333,93
[2024-10-04T23:57:42.056+0000] {logging_mixin.py:190} INFO - R$ 624,99
[2024-10-04T23:57:42.056+0000] {logging_mixin.py:190} INFO - R$ 569,90
[2024-10-04T23:57:42.057+0000] {logging_mixin.py:190} INFO - R$ 889,90
[2024-10-04T23:57:42.058+0000] {logging_mixin.py:190} INFO - R$ 752,85
[2024-10-04T23:57:42.058+0000] {logging_mixin.py:190} INFO - R$ 2.744,99
[2024-10-04T23:57:42.059+0000] {logging_mixin.py:190} INFO - R$ 5.685,00
[2024-10-04T23:57:42.060+0000] {logging_mixin.py:190} INFO - R$ 1.414,99
[2024-10-04T23:57:42.060+0000] {logging_mixin.py:190} INFO - R$ 1.489,99
[2024-10-04T23:57:42.061+0000] {logging_mixin.py:190} INFO - R$ 1.194,99
[2024-10-04T23:57:42.061+0000] {logging_mixin.py:190} INFO - R$ 1.299,99
[2024-10-04T23:57:42.062+0000] {logging_mixin.py:190} INFO - R$ 1.394,99
[2024-10-04T23:57:42.062+0000] {logging_mixin.py:190} INFO - R$ 1.094,99
[2024-10-04T23:57:42.063+0000] {logging_mixin.py:190} INFO - R$ 2.314,41
[2024-10-04T23:57:42.064+0000] {logging_mixin.py:190} INFO - R$ 1.406,15
[2024-10-04T23:57:42.064+0000] {logging_mixin.py:190} INFO - R$ 198,00
[2024-10-04T23:57:42.065+0000] {logging_mixin.py:190} INFO - R$ 577,07
[2024-10-04T23:57:42.065+0000] {logging_mixin.py:190} INFO - R$ 355,00
[2024-10-04T23:57:42.066+0000] {logging_mixin.py:190} INFO - R$ 1.299,99
[2024-10-04T23:57:42.066+0000] {logging_mixin.py:190} INFO - R$ 597,89
[2024-10-04T23:57:42.067+0000] {logging_mixin.py:190} INFO - R$ 2.095,75
[2024-10-04T23:57:42.068+0000] {logging_mixin.py:190} INFO - R$ 2.629,98
[2024-10-04T23:57:42.068+0000] {logging_mixin.py:190} INFO - R$ 2.674,99
[2024-10-04T23:57:42.069+0000] {logging_mixin.py:190} INFO - R$ 3.799,99
[2024-10-04T23:57:42.069+0000] {logging_mixin.py:190} INFO - R$ 2.444,99
[2024-10-04T23:57:42.070+0000] {logging_mixin.py:190} INFO - R$ 229,00
[2024-10-04T23:57:42.070+0000] {logging_mixin.py:190} INFO - R$ 709,90
[2024-10-04T23:57:42.072+0000] {logging_mixin.py:190} INFO - R$ 679,25
[2024-10-04T23:57:42.073+0000] {logging_mixin.py:190} INFO - R$ 225,63
[2024-10-04T23:57:42.073+0000] {logging_mixin.py:190} INFO - R$ 2.523,66
[2024-10-04T23:57:42.074+0000] {logging_mixin.py:190} INFO - R$ 164,11
[2024-10-04T23:57:42.075+0000] {logging_mixin.py:190} INFO - R$ 5.314,99
[2024-10-04T23:57:42.075+0000] {logging_mixin.py:190} INFO - R$ 1.945,00
[2024-10-04T23:57:42.076+0000] {logging_mixin.py:190} INFO - R$ 3.784,99
[2024-10-04T23:57:42.076+0000] {logging_mixin.py:190} INFO - R$ 2.769,99
[2024-10-04T23:57:42.077+0000] {logging_mixin.py:190} INFO - R$ 6.924,99
[2024-10-04T23:57:42.077+0000] {logging_mixin.py:190} INFO - R$ 2.089,99
[2024-10-04T23:57:42.078+0000] {logging_mixin.py:190} INFO - R$ 2.084,99
[2024-10-04T23:57:42.078+0000] {logging_mixin.py:190} INFO - R$ 2.194,99
[2024-10-04T23:57:42.079+0000] {logging_mixin.py:190} INFO - R$ 2.294,99
[2024-10-04T23:57:42.080+0000] {logging_mixin.py:190} INFO - R$ 729,99
